"Multidimensional poverty index (MPI)"
"Dimension: Poverty"
"Definition: Percentage of the population that is multidimensionally poor adjusted by the intensity of the deprivations. See Technical note 5 at http:// hdr.undp.org/sites/default/files/hdr2021_technical_ notes.pdf for details on how the Multidimensional Poverty Index is calculated."
"Source: HDRO and OPHI calculations based on data on household deprivations in health, education, and standard of living from various surveys listed in column 1 using the methodology described in Technical note 5 (http://hdr.undp.org/sites/default/files/mpi2021_technical_notes.pdf)."
""
"HDI Rank","Country","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2020","","2009-2020",""
"f: The methodology was adjusted to account for missing indicator on nutrition and incomplete indicator on child mortality (the survey did not collect the date of child deaths)."
"g: Missing indicator on housing."
"h: Given the information available in the data, child mortality was constructed based on deaths that occurred between surveys- that is, between 2012 and 2014. Child deaths reported by an adult man in the household were taken into account because the date of death was reported."
"i: Missing indicator on cooking fuel."
"j: Missing indicator on electricity."
"k: Indicator on sanitation follows the national classification in which pit latrine with slab is considered unimproved."
"l: Following the national report, latrines are considered an improved source for the sanitation indicator."
"m: Because of the high proportion of children excluded from nutrition indicators due to measurements not being taken, estimates based on the 2019 Serbia Multiple Indicator Cluster Survey should be interpreted with caution. The unweighted sample size used for the multidimensional poverty calculation is to 82.8 percent."
"n: Missing indicator on school attendance."
""
